Time,V1,V2,V3,V4,V5,V6,V7,Amount,Class
15795,-1.41520252,1.606119492,-0.767017527,-1.106619411,-1.510304754,-1.082003595,-1.011915322,416.2867328,0
860,0.595401136,1.562459507,1.477681878,0.572821006,-0.057582017,1.616465458,0.448818406,143.020522,0
76820,-2.079127723,-0.99234284,-2.761061966,-1.063312479,0.13524654,1.44602255,-1.18221823,182.323231,0
54886,-0.021474962,0.385884383,-0.4167026,-0.714246111,-0.77668286,-0.999119639,0.401064615,232.791613,0
6265,-0.617090408,1.067599301,0.619566472,-0.183487243,-0.115136603,-1.583124819,0.842248235,489.4858939,0
82386,-1.258842042,0.8483295,0.410730663,-1.669800153,-0.911676461,-1.160577153,0.604975846,87.0228437,0
37194,1.188801008,0.081563035,1.461738134,0.046771431,0.637169071,-1.14536964,-0.344937326,179.3840686,0
87498,-0.041308431,1.306557462,0.161051479,-0.107152881,-1.338206656,0.801760564,0.274933566,364.9836209,0
44131,0.173966329,-0.904514689,0.37427818,1.184209146,1.062333662,1.549170316,0.284491935,482.0079234,0
60263,0.907871947,-0.303092944,-1.838506832,-0.819865545,-0.073305157,0.790126213,0.665989655,78.68193117,0
16023,-0.008790556,-0.87764242,-0.988268858,-1.299195518,-0.448033859,-0.236192217,-0.123766948,114.4625971,0
41090,0.451411199,0.782493495,-1.782704743,-0.37405965,-1.0046971,0.342498467,0.9311388,113.6216425,0
67221,0.81585162,-0.582636874,0.572608108,-1.098091293,1.030657796,-0.869778033,1.434605399,11.44508272,0
64820,0.566755927,-0.171249175,0.348690452,0.039154592,-0.651862134,1.097208046,-0.317867447,302.4536969,0
769,0.285980166,0.617670368,0.313537967,-1.859934862,-1.167248559,0.43202894,0.046439728,335.680834,0
59735,1.783112835,0.698249914,-0.881433608,-0.605345403,1.051463319,0.773197782,-0.904814784,301.6604192,1
62955,1.241970598,-0.907126346,-0.972949779,-0.92837167,-0.904305813,-0.727535702,0.340257324,36.59017172,0
64925,-0.085763169,1.056655284,0.209446932,0.567757077,-0.094482314,-0.168597187,0.346637728,35.54583275,0
67969,-0.90969295,0.455689669,-0.669386053,-0.81056471,0.818803776,0.72507314,0.057986385,105.9828907,0
5311,0.63862365,-1.08170284,-1.020404564,-1.736095759,0.157957603,1.4435129,0.133399654,145.8569633,0
83104,0.215860648,-1.327715896,-0.508389371,-0.201820097,1.730851546,-0.608099759,1.921826389,393.4852843,0
53707,1.708995663,-0.01581971,-0.660742036,0.31988614,-0.834950368,0.780451907,-2.886722804,80.53574261,0
85305,0.987493006,0.850093989,-0.866722975,-0.271205193,-0.210511337,-0.712071797,-0.496656878,23.00201598,0
28693,0.764204388,0.875715862,-1.225767817,-0.611322779,-0.13317814,2.117193773,-0.343723678,197.5997663,0
71932,0.012951538,0.356166877,0.448689768,-0.671562101,0.621234953,-0.414824708,1.456912613,208.7796929,0
93016,-0.875698742,0.048674838,1.556049439,0.112948032,1.288623128,0.643505174,0.475288809,226.0027618,0
25658,-0.197962969,0.511737669,-0.039004201,-0.889448749,0.07361651,0.165609615,0.499685836,413.6248685,0
84478,0.476828094,-0.855330514,0.222434137,-0.328482971,-0.13766383,2.605303121,1.259856191,49.90470202,0
18431,-1.729580093,1.686987863,0.536377853,0.750446571,-1.482991868,0.229901608,-0.179956702,352.2670991,0
2747,1.24171396,1.673938418,0.366565757,-1.301323079,0.11238119,-0.515056023,0.652326536,169.63484,0
59150,2.067044002,0.428812315,-0.846912328,-0.04366702,-0.65030001,0.639506513,-0.530765888,155.6800881,0
65725,-1.94493929,0.19730042,1.719846211,-1.788989413,0.618436311,0.617240867,-1.053306326,466.3390199,0
84654,-1.400215551,-0.411420973,-0.757310514,0.22792967,-0.409684189,-0.157469864,1.794166987,124.9857937,0
35773,0.229662464,0.528748846,0.648088365,-0.978809211,-0.240638054,-1.094765864,0.36903173,321.6233858,0
67435,-0.582580916,-0.691317371,0.530191307,1.019591813,-1.460268015,-0.527998861,0.644662595,138.2887509,0
56886,0.260906434,-2.223612031,-1.958441542,-1.47694731,-1.811452084,0.881498948,-1.080174685,254.0647974,0
66803,-0.071674037,-2.7141073,-0.358846417,0.442079037,1.86098704,-1.747448946,0.510352646,393.3601534,0
31551,-1.023818519,-0.799498333,0.056628452,1.221131079,0.12968391,-0.248045899,1.778232747,440.9795392,0
11394,1.28840634,0.156378123,0.133151211,-1.030689401,0.404335478,0.994863922,-0.277450068,419.5099229,0
69092,0.464516605,0.331971734,0.301420516,-0.861884929,-0.912294963,-0.093496219,-1.255799441,291.5081873,0
3890,-0.559741975,-0.486757009,0.757662873,-0.944195644,0.875523607,2.17371014,0.183976194,125.1593414,0
41606,1.505025115,0.141835167,-0.007515364,-0.485862688,0.695139896,-1.74465024,-1.035896905,330.9554582,0
96276,-0.508405955,-0.274228357,0.354617568,0.517421799,-0.802427194,-0.961367869,-1.557798696,355.2426178,1
80038,-1.241840517,-0.999312758,-0.044954587,-0.567504934,-1.059505436,-2.314633802,-0.734765695,6.335303067,0
87313,0.183511823,-0.053744509,-1.017333657,-1.120958225,-0.732527684,1.993690567,-0.492597795,220.166045,0
10627,0.353157623,0.812957112,0.032401441,-2.018753707,-0.028282649,-0.944987151,-0.987249795,421.7877594,0
8792,0.531916892,-0.954061748,0.749089844,1.601947507,0.167107003,-1.986921312,1.326466782,245.3042105,0
73969,0.696351127,-0.953604613,1.108788382,1.68049563,0.038394008,-0.611919314,1.889610005,156.3763456,0
43001,0.516124729,-1.069250594,0.537315658,0.560237039,1.298730109,-1.392809108,0.618088016,436.0270877,0
76552,0.475493641,-1.936518735,1.334350326,-0.810383694,-0.71495685,-0.60478489,0.384195492,78.78446807,0
23897,-0.5737538,-0.480202374,0.418864747,0.747702115,-1.086661991,0.041229251,-0.142048113,104.016171,0
68148,-0.680744275,0.714086113,0.863879822,0.948706917,9.90E-05,0.804921104,-0.896332814,343.9988111,0
23483,0.742364916,0.173916084,0.937391149,-0.254248131,-1.693084816,-0.17466894,1.602910231,176.8655348,0
48555,0.243456511,-0.169250884,-0.223350541,0.041368544,0.695737499,0.025290699,-0.062853497,356.795401,0
17159,0.820245739,0.129064798,0.726003433,1.231768229,0.097963264,-0.581595223,-0.462585472,79.69410701,0
80077,-1.707277156,-0.488981487,-0.940644898,-1.640461357,-0.338038041,-1.511698227,1.014756624,126.8822757,0
35920,-0.500786382,-1.947886637,0.349812343,0.998422823,-0.393552873,-1.846540243,-0.07358419,79.1670418,0
92067,1.907018902,0.783718782,0.577025827,-0.309153811,0.909995782,-0.36448578,0.977294243,476.5022465,0
67121,0.552533152,1.071124574,1.051095121,-1.112578302,0.878147935,0.084639779,-0.409748707,203.2965765,0
69479,0.295550451,-0.728156776,0.820759304,-1.030306473,-0.246371858,-0.438614521,1.017636925,169.272735,0
89475,0.707924367,-0.150835621,1.064114183,-0.864722135,0.591768824,-1.809326993,0.979767217,8.086875929,0
19457,2.208450526,-0.236999171,-0.09938033,-1.21007072,0.863370462,0.201400093,1.324828422,77.55537213,0
66557,1.998049542,0.351288809,-0.345393155,1.771388974,0.335526226,1.629304883,-0.70942484,211.1467923,0
77189,-1.579520757,1.689893457,-0.274898758,0.491202939,-0.20546502,-0.114646514,-0.083039436,35.18289349,0
78953,-1.210501159,1.159791245,0.26628373,1.064482754,0.381167707,-0.579530578,1.947770079,255.8589254,0
52995,-1.613410656,-0.376914225,-1.808747016,0.562368292,-1.039086643,-0.06049404,-0.246412079,228.0527038,0
40757,-0.747107889,0.542463862,1.33175697,0.061227608,0.071105569,-1.104379845,0.811025798,383.816902,0
9692,0.054919299,1.254356869,0.04387336,0.074755323,-0.233126256,-1.168899129,2.290565018,330.241548,0
45758,0.242015144,0.408345164,-0.415001582,-0.397512639,-0.389865624,0.451414088,-1.849041196,223.5277054,0
72409,-1.530478743,-0.004699404,-2.529716211,-0.315782376,-1.726521012,0.990321529,-0.279555638,113.1056894,0
71211,-1.867351826,0.446000095,-0.036813506,-1.408103374,-1.027597751,-0.147098352,0.001870184,363.7049194,0
65697,-0.764791387,-0.703271523,-0.198476515,1.081826151,-0.485894824,-1.973765048,-1.798878659,354.2231896,0
37065,0.916171266,-0.557281124,-0.897046431,-1.813233286,0.895039181,0.353348927,-0.455971218,77.4947841,0
92093,1.090362912,-1.064034235,-0.673046845,-1.058610591,0.28582349,2.06738217,-0.971381277,457.4611639,0
99299,1.705824859,0.307064517,-0.026636644,2.012034131,0.939674248,-0.243898163,0.857685468,33.13815289,0
